"Device: USB-2408-2AO"
"Serial Number: 1C3CD1D"
"Channel Count: 1"
"Sample Count: 3695"
"Start Time: 1/28/2020 12:43:50.895 PM"
"Scan Rate: 1000"
"Sample","Date/Time","AI4 (mV)"
"0","1/28/2020 12:43:50.895 PM","0.20211"
"1","1/28/2020 12:43:50.896 PM","0.20229"
"2","1/28/2020 12:43:50.897 PM","0.20275"
"3","1/28/2020 12:43:50.898 PM","0.20258"
"4","1/28/2020 12:43:50.899 PM","0.20180"
"5","1/28/2020 12:43:50.900 PM","0.20247"
"6","1/28/2020 12:43:50.901 PM","0.20288"
"7","1/28/2020 12:43:50.902 PM","0.20186"
"8","1/28/2020 12:43:50.903 PM","0.20208"
"9","1/28/2020 12:43:50.904 PM","0.20215"
"10","1/28/2020 12:43:50.905 PM","0.20106"
"11","1/28/2020 12:43:50.906 PM","0.20272"
"12","1/28/2020 12:43:50.907 PM","0.20133"
"13","1/28/2020 12:43:50.908 PM","0.20228"
"14","1/28/2020 12:43:50.909 PM","0.20237"
"15","1/28/2020 12:43:50.910 PM","0.20277"
"16","1/28/2020 12:43:50.911 PM","0.20118"
"17","1/28/2020 12:43:50.912 PM","0.20130"
"18","1/28/2020 12:43:50.913 PM","0.20408"
"19","1/28/2020 12:43:50.914 PM","0.20248"
"20","1/28/2020 12:43:50.915 PM","0.20271"
"21","1/28/2020 12:43:50.916 PM","0.20357"
"22","1/28/2020 12:43:50.917 PM","0.20172"
"23","1/28/2020 12:43:50.918 PM","0.20384"
"24","1/28/2020 12:43:50.919 PM","0.20145"
"25","1/28/2020 12:43:50.920 PM","0.20207"
"26","1/28/2020 12:43:50.921 PM","0.20068"
"27","1/28/2020 12:43:50.922 PM","0.20262"
"28","1/28/2020 12:43:50.923 PM","0.20025"
"29","1/28/2020 12:43:50.924 PM","0.20087"
"30","1/28/2020 12:43:50.925 PM","0.20351"
"31","1/28/2020 12:43:50.926 PM","0.20272"
"32","1/28/2020 12:43:50.927 PM","0.20270"
"33","1/28/2020 12:43:50.928 PM","0.20249"
"34","1/28/2020 12:43:50.929 PM","0.20195"
"35","1/28/2020 12:43:50.930 PM","0.20139"
"36","1/28/2020 12:43:50.931 PM","0.20212"
"37","1/28/2020 12:43:50.932 PM","0.20134"
"38","1/28/2020 12:43:50.933 PM","0.20285"
"39","1/28/2020 12:43:50.934 PM","0.20334"
"40","1/28/2020 12:43:50.935 PM","0.20254"
"41","1/28/2020 12:43:50.936 PM","0.20100"
"42","1/28/2020 12:43:50.937 PM","0.20169"
"43","1/28/2020 12:43:50.938 PM","0.20389"
"44","1/28/2020 12:43:50.939 PM","0.20214"
"45","1/28/2020 12:43:50.940 PM","0.20236"
"46","1/28/2020 12:43:50.941 PM","0.20246"
"47","1/28/2020 12:43:50.942 PM","0.20206"
"48","1/28/2020 12:43:50.943 PM","0.20207"
"49","1/28/2020 12:43:50.944 PM","0.20135"
"50","1/28/2020 12:43:50.945 PM","0.20325"
"51","1/28/2020 12:43:50.946 PM","0.20137"
"52","1/28/2020 12:43:50.947 PM","0.20138"
"53","1/28/2020 12:43:50.948 PM","0.20362"
"54","1/28/2020 12:43:50.949 PM","0.20348"
"55","1/28/2020 12:43:50.950 PM","0.20353"
"56","1/28/2020 12:43:50.951 PM","0.20298"
"57","1/28/2020 12:43:50.952 PM","0.20189"
"58","1/28/2020 12:43:50.953 PM","0.20150"
"59","1/28/2020 12:43:50.954 PM","0.20280"
"60","1/28/2020 12:43:50.955 PM","0.20221"
"61","1/28/2020 12:43:50.956 PM","0.20052"
"62","1/28/2020 12:43:50.957 PM","0.20054"
"63","1/28/2020 12:43:50.958 PM","0.20279"
"64","1/28/2020 12:43:50.959 PM","0.20407"
"65","1/28/2020 12:43:50.960 PM","0.20092"
"66","1/28/2020 12:43:50.961 PM","0.20300"
"67","1/28/2020 12:43:50.962 PM","0.20240"
"68","1/28/2020 12:43:50.963 PM","0.20161"
"69","1/28/2020 12:43:50.964 PM","0.20147"
"70","1/28/2020 12:43:50.965 PM","0.20253"
"71","1/28/2020 12:43:50.966 PM","0.20135"
"72","1/28/2020 12:43:50.967 PM","0.20260"
"73","1/28/2020 12:43:50.968 PM","0.20046"
"74","1/28/2020 12:43:50.969 PM","0.20443"
"75","1/28/2020 12:43:50.970 PM","0.20147"
"76","1/28/2020 12:43:50.971 PM","0.20200"
"77","1/28/2020 12:43:50.972 PM","0.20310"
"78","1/28/2020 12:43:50.973 PM","0.20178"
"79","1/28/2020 12:43:50.974 PM","0.20050"
"80","1/28/2020 12:43:50.975 PM","0.20036"
"81","1/28/2020 12:43:50.976 PM","0.20185"
"82","1/28/2020 12:43:50.977 PM","0.20204"
"83","1/28/2020 12:43:50.978 PM","0.20351"
"84","1/28/2020 12:43:50.979 PM","0.20306"
"85","1/28/2020 12:43:50.980 PM","0.20332"
"86","1/28/2020 12:43:50.981 PM","0.20142"
"87","1/28/2020 12:43:50.982 PM","0.20436"
"88","1/28/2020 12:43:50.983 PM","0.20221"
