"Device: USB-2408-2AO"
"Serial Number: 1C3CD1D"
"Channel Count: 1"
"Sample Count: 2863"
"Start Time: 1/28/2020 12:53:15.748 PM"
"Scan Rate: 1000"
"Sample","Date/Time","AI4 (mV)"
"0","1/28/2020 12:53:15.748 PM","0.76953"
"1","1/28/2020 12:53:15.749 PM","0.77021"
"2","1/28/2020 12:53:15.750 PM","0.76964"
"3","1/28/2020 12:53:15.751 PM","0.76801"
"4","1/28/2020 12:53:15.752 PM","0.76852"
"5","1/28/2020 12:53:15.753 PM","0.76776"
"6","1/28/2020 12:53:15.754 PM","0.76868"
"7","1/28/2020 12:53:15.755 PM","0.76948"
"8","1/28/2020 12:53:15.756 PM","0.76799"
"9","1/28/2020 12:53:15.757 PM","0.76869"
"10","1/28/2020 12:53:15.758 PM","0.76789"
"11","1/28/2020 12:53:15.759 PM","0.76851"
"12","1/28/2020 12:53:15.760 PM","0.76891"
"13","1/28/2020 12:53:15.761 PM","0.76819"
"14","1/28/2020 12:53:15.762 PM","0.76900"
"15","1/28/2020 12:53:15.763 PM","0.76875"
"16","1/28/2020 12:53:15.764 PM","0.76940"
"17","1/28/2020 12:53:15.765 PM","0.76777"
"18","1/28/2020 12:53:15.766 PM","0.76953"
"19","1/28/2020 12:53:15.767 PM","0.76864"
"20","1/28/2020 12:53:15.768 PM","0.76765"
"21","1/28/2020 12:53:15.769 PM","0.76916"
"22","1/28/2020 12:53:15.770 PM","0.76927"
"23","1/28/2020 12:53:15.771 PM","0.76805"
"24","1/28/2020 12:53:15.772 PM","0.76926"
"25","1/28/2020 12:53:15.773 PM","0.76759"
"26","1/28/2020 12:53:15.774 PM","0.76805"
"27","1/28/2020 12:53:15.775 PM","0.76735"
"28","1/28/2020 12:53:15.776 PM","0.76796"
"29","1/28/2020 12:53:15.777 PM","0.76894"
"30","1/28/2020 12:53:15.778 PM","0.76783"
"31","1/28/2020 12:53:15.779 PM","0.76859"
"32","1/28/2020 12:53:15.780 PM","0.76921"
"33","1/28/2020 12:53:15.781 PM","0.76777"
"34","1/28/2020 12:53:15.782 PM","0.77004"
"35","1/28/2020 12:53:15.783 PM","0.76871"
"36","1/28/2020 12:53:15.784 PM","0.76926"
"37","1/28/2020 12:53:15.785 PM","0.76810"
"38","1/28/2020 12:53:15.786 PM","0.76913"
"39","1/28/2020 12:53:15.787 PM","0.76808"
"40","1/28/2020 12:53:15.788 PM","0.76746"
"41","1/28/2020 12:53:15.789 PM","0.76847"
"42","1/28/2020 12:53:15.790 PM","0.76795"
"43","1/28/2020 12:53:15.791 PM","0.76680"
"44","1/28/2020 12:53:15.792 PM","0.76890"
"45","1/28/2020 12:53:15.793 PM","0.76873"
"46","1/28/2020 12:53:15.794 PM","0.76870"
"47","1/28/2020 12:53:15.795 PM","0.76715"
"48","1/28/2020 12:53:15.796 PM","0.76797"
"49","1/28/2020 12:53:15.797 PM","0.76819"
"50","1/28/2020 12:53:15.798 PM","0.76943"
"51","1/28/2020 12:53:15.799 PM","0.76840"
"52","1/28/2020 12:53:15.800 PM","0.76857"
"53","1/28/2020 12:53:15.801 PM","0.76791"
"54","1/28/2020 12:53:15.802 PM","0.76977"
"55","1/28/2020 12:53:15.803 PM","0.76855"
"56","1/28/2020 12:53:15.804 PM","0.76897"
"57","1/28/2020 12:53:15.805 PM","0.76859"
"58","1/28/2020 12:53:15.806 PM","0.76809"
"59","1/28/2020 12:53:15.807 PM","0.76650"
"60","1/28/2020 12:53:15.808 PM","0.76675"
"61","1/28/2020 12:53:15.809 PM","0.76834"
"62","1/28/2020 12:53:15.810 PM","0.76831"
"63","1/28/2020 12:53:15.811 PM","0.76841"
"64","1/28/2020 12:53:15.812 PM","0.76800"
"65","1/28/2020 12:53:15.813 PM","0.76754"
"66","1/28/2020 12:53:15.814 PM","0.76837"
"67","1/28/2020 12:53:15.815 PM","0.76935"
"68","1/28/2020 12:53:15.816 PM","0.76897"
"69","1/28/2020 12:53:15.817 PM","0.76941"
"70","1/28/2020 12:53:15.818 PM","0.76788"
"71","1/28/2020 12:53:15.819 PM","0.76817"
"72","1/28/2020 12:53:15.820 PM","0.76856"
"73","1/28/2020 12:53:15.821 PM","0.76797"
"74","1/28/2020 12:53:15.822 PM","0.76767"
"75","1/28/2020 12:53:15.823 PM","0.76953"
"76","1/28/2020 12:53:15.824 PM","0.76888"
"77","1/28/2020 12:53:15.825 PM","0.76740"
"78","1/28/2020 12:53:15.826 PM","0.76669"
"79","1/28/2020 12:53:15.827 PM","0.76800"
"80","1/28/2020 12:53:15.828 PM","0.76812"
"81","1/28/2020 12:53:15.829 PM","0.76853"
"82","1/28/2020 12:53:15.830 PM","0.76767"
"83","1/28/2020 12:53:15.831 PM","0.76896"
"84","1/28/2020 12:53:15.832 PM","0.76788"
"85","1/28/2020 12:53:15.833 PM","0.76817"
"86","1/28/2020 12:53:15.834 PM","0.76683"
"87","1/28/2020 12:53:15.835 PM","0.76969"
"88","1/28/2020 12:53:15.836 PM","0.76780"
"89","1/28/2020 12:53:15.837 PM","0.76786"
"90","1/28/2020 12:53:15.838 PM","0.76777"
"91","1/28/2020 12:53:15.839 PM","0.77039"
"92","1/28/2020 12:53:15.840 PM","0.76692"
"93","1/28/2020 12:53:15.841 PM","0.76779"
"94","1/28/2020 12:53:15.842 PM","0.76829"
"95","1/28/2020 12:53:15.843 PM","0.77018"
"96","1/28/2020 12:53:15.844 PM","0.76737"
"97","1/28/2020 12:53:15.845 PM","0.76936"
"98","1/28/2020 12:53:15.846 PM","0.76967"
"99","1/28/2020 12:53:15.847 PM","0.76588"
"100","1/28/2020 12:53:15.848 PM","0.76827"
"101","1/28/2020 12:53:15.849 PM","0.76768"
"102","1/28/2020 12:53:15.850 PM","0.76896"
"103","1/28/2020 12:53:15.851 PM","0.77070"
"104","1/28/2020 12:53:15.852 PM","0.77007"
"105","1/28/2020 12:53:15.853 PM","0.76901"
"106","1/28/2020 12:53:15.854 PM","0.76721"
"107","1/28/2020 12:53:15.855 PM","0.76748"
"108","1/28/2020 12:53:15.856 PM","0.76842"
"109","1/28/2020 12:53:15.857 PM","0.76847"
"110","1/28/2020 12:53:15.858 PM","0.76679"
"111","1/28/2020 12:53:15.859 PM","0.76652"
"112","1/28/2020 12:53:15.860 PM","0.76653"
"113","1/28/2020 12:53:15.861 PM","0.76778"
"114","1/28/2020 12:53:15.862 PM","0.76660"
"115","1/28/2020 12:53:15.863 PM","0.76867"
"116","1/28/2020 12:53:15.864 PM","0.76780"
"117","1/28/2020 12:53:15.865 PM","0.76836"
"118","1/28/2020 12:53:15.866 PM","0.76844"
