"Device: USB-2408-2AO"
"Serial Number: 1C3CD1D"
"Channel Count: 1"
"Sample Count: 2255"
"Start Time: 1/28/2020 12:53:06.981 PM"
"Scan Rate: 1000"
"Sample","Date/Time","AI4 (mV)"
"0","1/28/2020 12:53:06.981 PM","0.74881"
"1","1/28/2020 12:53:06.982 PM","0.74826"
"2","1/28/2020 12:53:06.983 PM","0.74952"
"3","1/28/2020 12:53:06.984 PM","0.74926"
"4","1/28/2020 12:53:06.985 PM","0.74811"
"5","1/28/2020 12:53:06.986 PM","0.74697"
"6","1/28/2020 12:53:06.987 PM","0.74576"
"7","1/28/2020 12:53:06.988 PM","0.74739"
"8","1/28/2020 12:53:06.989 PM","0.74784"
"9","1/28/2020 12:53:06.990 PM","0.74740"
"10","1/28/2020 12:53:06.991 PM","0.74888"
"11","1/28/2020 12:53:06.992 PM","0.74762"
"12","1/28/2020 12:53:06.993 PM","0.74856"
"13","1/28/2020 12:53:06.994 PM","0.74910"
"14","1/28/2020 12:53:06.995 PM","0.74722"
"15","1/28/2020 12:53:06.996 PM","0.74790"
"16","1/28/2020 12:53:06.997 PM","0.74932"
"17","1/28/2020 12:53:06.998 PM","0.74824"
"18","1/28/2020 12:53:06.999 PM","0.74791"
"19","1/28/2020 12:53:07.000 PM","0.74934"
"20","1/28/2020 12:53:07.001 PM","0.74848"
"21","1/28/2020 12:53:07.002 PM","0.74869"
"22","1/28/2020 12:53:07.003 PM","0.74677"
"23","1/28/2020 12:53:07.004 PM","0.74772"
"24","1/28/2020 12:53:07.005 PM","0.74733"
"25","1/28/2020 12:53:07.006 PM","0.74792"
"26","1/28/2020 12:53:07.007 PM","0.74814"
"27","1/28/2020 12:53:07.008 PM","0.74810"
"28","1/28/2020 12:53:07.009 PM","0.74616"
"29","1/28/2020 12:53:07.010 PM","0.74883"
"30","1/28/2020 12:53:07.011 PM","0.74816"
"31","1/28/2020 12:53:07.012 PM","0.74869"
"32","1/28/2020 12:53:07.013 PM","0.74942"
"33","1/28/2020 12:53:07.014 PM","0.74808"
"34","1/28/2020 12:53:07.015 PM","0.74795"
"35","1/28/2020 12:53:07.016 PM","0.74835"
"36","1/28/2020 12:53:07.017 PM","0.74821"
"37","1/28/2020 12:53:07.018 PM","0.74771"
"38","1/28/2020 12:53:07.019 PM","0.74776"
"39","1/28/2020 12:53:07.020 PM","0.74717"
"40","1/28/2020 12:53:07.021 PM","0.74718"
"41","1/28/2020 12:53:07.022 PM","0.74750"
"42","1/28/2020 12:53:07.023 PM","0.74768"
"43","1/28/2020 12:53:07.024 PM","0.74711"
"44","1/28/2020 12:53:07.025 PM","0.74788"
"45","1/28/2020 12:53:07.026 PM","0.74777"
"46","1/28/2020 12:53:07.027 PM","0.74840"
"47","1/28/2020 12:53:07.028 PM","0.74947"
"48","1/28/2020 12:53:07.029 PM","0.74877"
"49","1/28/2020 12:53:07.030 PM","0.74810"
"50","1/28/2020 12:53:07.031 PM","0.74907"
"51","1/28/2020 12:53:07.032 PM","0.74844"
"52","1/28/2020 12:53:07.033 PM","0.74895"
"53","1/28/2020 12:53:07.034 PM","0.74919"
"54","1/28/2020 12:53:07.035 PM","0.74758"
