"Device: USB-2408-2AO"
"Serial Number: 1C3CD1D"
"Channel Count: 1"
"Sample Count: 2559"
"Start Time: 1/28/2020 12:52:23.378 PM"
"Scan Rate: 1000"
"Sample","Date/Time","AI4 (mV)"
"0","1/28/2020 12:52:23.378 PM","0.78639"
"1","1/28/2020 12:52:23.379 PM","0.78654"
"2","1/28/2020 12:52:23.380 PM","0.78684"
"3","1/28/2020 12:52:23.381 PM","0.78606"
"4","1/28/2020 12:52:23.382 PM","0.78561"
"5","1/28/2020 12:52:23.383 PM","0.78709"
"6","1/28/2020 12:52:23.384 PM","0.78512"
"7","1/28/2020 12:52:23.385 PM","0.78472"
"8","1/28/2020 12:52:23.386 PM","0.78532"
"9","1/28/2020 12:52:23.387 PM","0.78746"
"10","1/28/2020 12:52:23.388 PM","0.78668"
"11","1/28/2020 12:52:23.389 PM","0.78670"
"12","1/28/2020 12:52:23.390 PM","0.78766"
"13","1/28/2020 12:52:23.391 PM","0.78493"
"14","1/28/2020 12:52:23.392 PM","0.78602"
"15","1/28/2020 12:52:23.393 PM","0.78546"
"16","1/28/2020 12:52:23.394 PM","0.78641"
"17","1/28/2020 12:52:23.395 PM","0.78572"
"18","1/28/2020 12:52:23.396 PM","0.78755"
"19","1/28/2020 12:52:23.397 PM","0.78495"
"20","1/28/2020 12:52:23.398 PM","0.78670"
"21","1/28/2020 12:52:23.399 PM","0.78606"
"22","1/28/2020 12:52:23.400 PM","0.78415"
"23","1/28/2020 12:52:23.401 PM","0.78693"
"24","1/28/2020 12:52:23.402 PM","0.78468"
"25","1/28/2020 12:52:23.403 PM","0.78621"
"26","1/28/2020 12:52:23.404 PM","0.78488"
"27","1/28/2020 12:52:23.405 PM","0.78615"
"28","1/28/2020 12:52:23.406 PM","0.78469"
"29","1/28/2020 12:52:23.407 PM","0.78600"
"30","1/28/2020 12:52:23.408 PM","0.78680"
"31","1/28/2020 12:52:23.409 PM","0.78574"
"32","1/28/2020 12:52:23.410 PM","0.78523"
"33","1/28/2020 12:52:23.411 PM","0.78582"
"34","1/28/2020 12:52:23.412 PM","0.78552"
"35","1/28/2020 12:52:23.413 PM","0.78606"
"36","1/28/2020 12:52:23.414 PM","0.78587"
"37","1/28/2020 12:52:23.415 PM","0.78548"
"38","1/28/2020 12:52:23.416 PM","0.78488"
"39","1/28/2020 12:52:23.417 PM","0.78479"
"40","1/28/2020 12:52:23.418 PM","0.78617"
"41","1/28/2020 12:52:23.419 PM","0.78380"
"42","1/28/2020 12:52:23.420 PM","0.78572"
"43","1/28/2020 12:52:23.421 PM","0.78518"
