"Device: USB-2408-2AO"
"Serial Number: 1C3CD1D"
"Channel Count: 1"
"Sample Count: 4015"
"Start Time: 1/28/2020 12:44:05.240 PM"
"Scan Rate: 1000"
"Sample","Date/Time","AI4 (mV)"
"0","1/28/2020 12:44:05.240 PM","0.20964"
"1","1/28/2020 12:44:05.241 PM","0.20971"
"2","1/28/2020 12:44:05.242 PM","0.20896"
"3","1/28/2020 12:44:05.243 PM","0.21012"
"4","1/28/2020 12:44:05.244 PM","0.20947"
"5","1/28/2020 12:44:05.245 PM","0.21065"
"6","1/28/2020 12:44:05.246 PM","0.20978"
"7","1/28/2020 12:44:05.247 PM","0.21042"
"8","1/28/2020 12:44:05.248 PM","0.20839"
"9","1/28/2020 12:44:05.249 PM","0.20984"
"10","1/28/2020 12:44:05.250 PM","0.21055"
"11","1/28/2020 12:44:05.251 PM","0.20961"
"12","1/28/2020 12:44:05.252 PM","0.21261"
"13","1/28/2020 12:44:05.253 PM","0.20978"
"14","1/28/2020 12:44:05.254 PM","0.20851"
"15","1/28/2020 12:44:05.255 PM","0.20823"
"16","1/28/2020 12:44:05.256 PM","0.21013"
"17","1/28/2020 12:44:05.257 PM","0.21010"
"18","1/28/2020 12:44:05.258 PM","0.21047"
"19","1/28/2020 12:44:05.259 PM","0.20947"
"20","1/28/2020 12:44:05.260 PM","0.20832"
"21","1/28/2020 12:44:05.261 PM","0.20733"
"22","1/28/2020 12:44:05.262 PM","0.20806"
"23","1/28/2020 12:44:05.263 PM","0.20871"
"24","1/28/2020 12:44:05.264 PM","0.20889"
"25","1/28/2020 12:44:05.265 PM","0.20950"
"26","1/28/2020 12:44:05.266 PM","0.20944"
"27","1/28/2020 12:44:05.267 PM","0.20969"
"28","1/28/2020 12:44:05.268 PM","0.20998"
"29","1/28/2020 12:44:05.269 PM","0.21030"
"30","1/28/2020 12:44:05.270 PM","0.21068"
"31","1/28/2020 12:44:05.271 PM","0.20948"
"32","1/28/2020 12:44:05.272 PM","0.21007"
"33","1/28/2020 12:44:05.273 PM","0.20779"
"34","1/28/2020 12:44:05.274 PM","0.20530"
"35","1/28/2020 12:44:05.275 PM","0.20165"
"36","1/28/2020 12:44:05.276 PM","0.20035"
"37","1/28/2020 12:44:05.277 PM","0.19911"
"38","1/28/2020 12:44:05.278 PM","0.20109"
"39","1/28/2020 12:44:05.279 PM","0.20796"
"40","1/28/2020 12:44:05.280 PM","0.21623"
"41","1/28/2020 12:44:05.281 PM","0.22019"
"42","1/28/2020 12:44:05.282 PM","0.22473"
"43","1/28/2020 12:44:05.283 PM","0.22270"
"44","1/28/2020 12:44:05.284 PM","0.22483"
"45","1/28/2020 12:44:05.285 PM","0.22547"
"46","1/28/2020 12:44:05.286 PM","0.22741"
"47","1/28/2020 12:44:05.287 PM","0.22941"
"48","1/28/2020 12:44:05.288 PM","0.23143"
"49","1/28/2020 12:44:05.289 PM","0.23059"
"50","1/28/2020 12:44:05.290 PM","0.22916"
"51","1/28/2020 12:44:05.291 PM","0.22650"
"52","1/28/2020 12:44:05.292 PM","0.21963"
"53","1/28/2020 12:44:05.293 PM","0.21642"
"54","1/28/2020 12:44:05.294 PM","0.21248"
"55","1/28/2020 12:44:05.295 PM","0.21061"
"56","1/28/2020 12:44:05.296 PM","0.20768"
"57","1/28/2020 12:44:05.297 PM","0.20584"
"58","1/28/2020 12:44:05.298 PM","0.20495"
"59","1/28/2020 12:44:05.299 PM","0.20145"
"60","1/28/2020 12:44:05.300 PM","0.20221"
"61","1/28/2020 12:44:05.301 PM","0.19732"
"62","1/28/2020 12:44:05.302 PM","0.19636"
"63","1/28/2020 12:44:05.303 PM","0.19753"
"64","1/28/2020 12:44:05.304 PM","0.19592"
"65","1/28/2020 12:44:05.305 PM","0.19703"
"66","1/28/2020 12:44:05.306 PM","0.19794"
"67","1/28/2020 12:44:05.307 PM","0.19906"
"68","1/28/2020 12:44:05.308 PM","0.19912"
"69","1/28/2020 12:44:05.309 PM","0.20295"
"70","1/28/2020 12:44:05.310 PM","0.20800"
"71","1/28/2020 12:44:05.311 PM","0.21457"
"72","1/28/2020 12:44:05.312 PM","0.21963"
"73","1/28/2020 12:44:05.313 PM","0.22365"
"74","1/28/2020 12:44:05.314 PM","0.22558"
"75","1/28/2020 12:44:05.315 PM","0.22679"
"76","1/28/2020 12:44:05.316 PM","0.22929"
"77","1/28/2020 12:44:05.317 PM","0.23116"
"78","1/28/2020 12:44:05.318 PM","0.23227"
"79","1/28/2020 12:44:05.319 PM","0.23428"
"80","1/28/2020 12:44:05.320 PM","0.23399"
"81","1/28/2020 12:44:05.321 PM","0.23316"
"82","1/28/2020 12:44:05.322 PM","0.23160"
"83","1/28/2020 12:44:05.323 PM","0.22684"
"84","1/28/2020 12:44:05.324 PM","0.22524"
"85","1/28/2020 12:44:05.325 PM","0.22321"
"86","1/28/2020 12:44:05.326 PM","0.22110"
"87","1/28/2020 12:44:05.327 PM","0.21840"
"88","1/28/2020 12:44:05.328 PM","0.21500"
"89","1/28/2020 12:44:05.329 PM","0.21306"
"90","1/28/2020 12:44:05.330 PM","0.20898"
"91","1/28/2020 12:44:05.331 PM","0.20850"
"92","1/28/2020 12:44:05.332 PM","0.20740"
"93","1/28/2020 12:44:05.333 PM","0.20465"
"94","1/28/2020 12:44:05.334 PM","0.20474"
"95","1/28/2020 12:44:05.335 PM","0.20145"
"96","1/28/2020 12:44:05.336 PM","0.20128"
"97","1/28/2020 12:44:05.337 PM","0.19892"
"98","1/28/2020 12:44:05.338 PM","0.19901"
"99","1/28/2020 12:44:05.339 PM","0.19858"
"100","1/28/2020 12:44:05.340 PM","0.20063"
"101","1/28/2020 12:44:05.341 PM","0.20077"
"102","1/28/2020 12:44:05.342 PM","0.20390"
"103","1/28/2020 12:44:05.343 PM","0.20568"
"104","1/28/2020 12:44:05.344 PM","0.20702"
"105","1/28/2020 12:44:05.345 PM","0.20999"
"106","1/28/2020 12:44:05.346 PM","0.21309"
