"Device: USB-2408-2AO"
"Serial Number: 1C3CD1D"
"Channel Count: 1"
"Sample Count: 3727"
"Start Time: 1/28/2020 12:54:52.777 PM"
"Scan Rate: 1000"
"Sample","Date/Time","AI4 (mV)"
"0","1/28/2020 12:54:52.777 PM","0.49043"
"1","1/28/2020 12:54:52.778 PM","0.49074"
"2","1/28/2020 12:54:52.779 PM","0.49101"
"3","1/28/2020 12:54:52.780 PM","0.49099"
"4","1/28/2020 12:54:52.781 PM","0.49236"
"5","1/28/2020 12:54:52.782 PM","0.49046"
"6","1/28/2020 12:54:52.783 PM","0.49230"
"7","1/28/2020 12:54:52.784 PM","0.49138"
"8","1/28/2020 12:54:52.785 PM","0.48904"
"9","1/28/2020 12:54:52.786 PM","0.49117"
"10","1/28/2020 12:54:52.787 PM","0.49211"
"11","1/28/2020 12:54:52.788 PM","0.49054"
"12","1/28/2020 12:54:52.789 PM","0.49051"
"13","1/28/2020 12:54:52.790 PM","0.49039"
"14","1/28/2020 12:54:52.791 PM","0.49012"
"15","1/28/2020 12:54:52.792 PM","0.49003"
"16","1/28/2020 12:54:52.793 PM","0.49140"
"17","1/28/2020 12:54:52.794 PM","0.48992"
"18","1/28/2020 12:54:52.795 PM","0.49089"
"19","1/28/2020 12:54:52.796 PM","0.48896"
"20","1/28/2020 12:54:52.797 PM","0.49034"
"21","1/28/2020 12:54:52.798 PM","0.49038"
"22","1/28/2020 12:54:52.799 PM","0.49043"
"23","1/28/2020 12:54:52.800 PM","0.48994"
"24","1/28/2020 12:54:52.801 PM","0.49143"
"25","1/28/2020 12:54:52.802 PM","0.49143"
"26","1/28/2020 12:54:52.803 PM","0.48942"
"27","1/28/2020 12:54:52.804 PM","0.48957"
"28","1/28/2020 12:54:52.805 PM","0.49045"
"29","1/28/2020 12:54:52.806 PM","0.48993"
"30","1/28/2020 12:54:52.807 PM","0.49111"
"31","1/28/2020 12:54:52.808 PM","0.48844"
"32","1/28/2020 12:54:52.809 PM","0.49043"
"33","1/28/2020 12:54:52.810 PM","0.49124"
"34","1/28/2020 12:54:52.811 PM","0.49018"
"35","1/28/2020 12:54:52.812 PM","0.49148"
"36","1/28/2020 12:54:52.813 PM","0.49252"
"37","1/28/2020 12:54:52.814 PM","0.49013"
"38","1/28/2020 12:54:52.815 PM","0.48986"
"39","1/28/2020 12:54:52.816 PM","0.49019"
"40","1/28/2020 12:54:52.817 PM","0.49083"
"41","1/28/2020 12:54:52.818 PM","0.49145"
"42","1/28/2020 12:54:52.819 PM","0.48925"
