"Device: USB-2408-2AO"
"Serial Number: 1C3CD25"
"Channel Count: 1"
"Sample Count: 2623"
"Start Time: 2/5/2020 10:50:06.784 AM"
"Scan Rate: 1000"
"Sample","Time (s)","AI4 (mV)"
"0","0.000","0.87672845"
"1","0.001","0.87835826"
"2","0.002","0.87701716"
"3","0.003","0.87704509"
"4","0.004","0.87711029"
"5","0.005","0.87728724"
"6","0.006","0.87585300"
"7","0.007","0.87677501"
"8","0.008","0.87695196"
"9","0.009","0.87729655"
"10","0.010","0.87678432"
"11","0.011","0.87687746"
"12","0.012","0.87780878"
"13","0.013","0.87658875"
"14","0.014","0.87619759"
"15","0.015","0.87730587"
"16","0.016","0.87687746"
"17","0.017","0.87742694"
"18","0.018","0.87817200"
"19","0.019","0.87602064"
"20","0.020","0.87806955"
"21","0.021","0.87697059"
"22","0.022","0.87724999"
"23","0.023","0.87847933"
"24","0.024","0.87847002"
"25","0.025","0.87842345"
"26","0.026","0.87802298"
"27","0.027","0.87755732"
"28","0.028","0.87636523"
"29","0.029","0.87720342"
"30","0.030","0.87674707"
"31","0.031","0.87631866"
"32","0.032","0.87582506"
"33","0.033","0.87612309"
"34","0.034","0.87580644"
"35","0.035","0.87605789"
"36","0.036","0.87638386"
"37","0.037","0.87667257"
"38","0.038","0.87513588"
"39","0.039","0.87594613"
"40","0.040","0.87542459"
"41","0.041","0.87635592"
"42","0.042","0.87585300"
"43","0.043","0.87759458"
"44","0.044","0.87711960"
"45","0.045","0.87623484"
"46","0.046","0.87559223"
"47","0.047","0.87562948"
"48","0.048","0.87514520"
"49","0.049","0.87599270"
"50","0.050","0.87581575"
"51","0.051","0.87457709"
"52","0.052","0.87521039"
"53","0.053","0.87678432"
"54","0.054","0.87648630"
"55","0.055","0.87740831"
"56","0.056","0.87697059"
"57","0.057","0.87782741"
"58","0.058","0.87679364"
"59","0.059","0.87677501"
"60","0.060","0.87545253"
"61","0.061","0.87790191"
"62","0.062","0.87652355"
"63","0.063","0.87614171"
"64","0.064","0.87689608"
"65","0.065","0.87658875"
"66","0.066","0.87625347"
"67","0.067","0.87608583"
"68","0.068","0.87651424"
"69","0.069","0.87754801"
"70","0.070","0.87675638"
"71","0.071","0.87727793"
"72","0.072","0.87742694"
"73","0.073","0.87751076"
"74","0.074","0.87707303"
"75","0.075","0.87650493"
"76","0.076","0.87533146"
"77","0.077","0.87739900"
"78","0.078","0.87846071"
"79","0.079","0.87724067"
"80","0.080","0.87667257"
"81","0.081","0.87822787"
"82","0.082","0.87676570"
"83","0.083","0.87721273"
"84","0.084","0.87670051"
"85","0.085","0.87831169"
"86","0.086","0.87577850"
"87","0.087","0.87720342"
"88","0.088","0.87705441"
"89","0.089","0.87791122"
"90","0.090","0.87632798"
"91","0.091","0.87726861"
"92","0.092","0.87730587"
"93","0.093","0.87724999"
"94","0.094","0.87696128"
"95","0.095","0.87690540"
"96","0.096","0.87860972"
"97","0.097","0.87779947"
"98","0.098","0.87758526"
"99","0.099","0.87822787"
"100","0.100","0.87802298"
"101","0.101","0.87764114"
"102","0.102","0.87573193"
"103","0.103","0.87819062"
"104","0.104","0.87833963"
"105","0.105","0.87860040"
"106","0.106","0.87652355"
"107","0.107","0.87773427"
"108","0.108","0.87847933"
"109","0.109","0.87856315"
"110","0.110","0.87722205"
"111","0.111","0.87673776"
"112","0.112","0.87753870"
"113","0.113","0.87803230"
"114","0.114","0.87955035"
"115","0.115","0.87862834"
"116","0.116","0.87902881"
"117","0.117","0.87765045"
"118","0.118","0.87786466"
"119","0.119","0.87807886"
"120","0.120","0.87809749"
"121","0.121","0.87772496"
"122","0.122","0.87719411"
"123","0.123","0.87857246"
"124","0.124","0.87635592"
"125","0.125","0.87782741"
"126","0.126","0.87742694"
"127","0.127","0.87562017"
"128","0.128","0.87922439"
"129","0.129","0.87780878"
"130","0.130","0.87940134"
"131","0.131","0.87973662"
"132","0.132","0.87897293"
"133","0.133","0.87744556"
"134","0.134","0.87841414"
"135","0.135","0.87901019"
"136","0.136","0.87765045"
"137","0.137","0.87808818"
"138","0.138","0.87809749"
"139","0.139","0.87949447"
"140","0.140","0.87848864"
"141","0.141","0.87704509"
"142","0.142","0.87912194"
"143","0.143","0.87792054"
"144","0.144","0.87781809"
"145","0.145","0.87856315"
"146","0.146","0.87831169"
"147","0.147","0.87863766"
"148","0.148","0.87827444"
"149","0.149","0.87838620"
"150","0.150","0.87742694"
"151","0.151","0.87874942"
"152","0.152","0.87852590"
"153","0.153","0.87859109"
"154","0.154","0.87846071"
"155","0.155","0.87797642"
"156","0.156","0.87499619"
