"Device: USB-2408-2AO"
"Serial Number: 1C3CD25"
"Channel Count: 1"
"Sample Count: 2335"
"Start Time: 2/5/2020 10:55:22.474 AM"
"Scan Rate: 1000"
"Sample","Time (s)","AI4 (mV)"
"0","0.000","0.31179748"
"1","0.001","0.31326897"
"2","0.002","0.31287782"
"3","0.003","0.31204894"
"4","0.004","0.31204894"
"5","0.005","0.31168573"
"6","0.006","0.31163916"
"7","0.007","0.31238422"
"8","0.008","0.31051226"
"9","0.009","0.31228177"
"10","0.010","0.31142496"
"11","0.011","0.31197444"
"12","0.012","0.31146221"
"13","0.013","0.31262636"
"14","0.014","0.31110831"
"15","0.015","0.31203963"
"16","0.016","0.30998141"
"17","0.017","0.31192787"
"18","0.018","0.31263568"
"19","0.019","0.31086616"
"20","0.020","0.31195581"
"21","0.021","0.31002797"
"22","0.022","0.31296164"
"23","0.023","0.31056814"
"24","0.024","0.31126663"
"25","0.025","0.31125732"
"26","0.026","0.31244010"
"27","0.027","0.31215139"
"28","0.028","0.31256117"
"29","0.029","0.31105243"
"30","0.030","0.31208619"
"31","0.031","0.31165779"
"32","0.032","0.31055883"
"33","0.033","0.31255186"
"34","0.034","0.31136908"
"35","0.035","0.31239353"
"36","0.036","0.31259842"
"37","0.037","0.31144358"
"38","0.038","0.31119213"
"39","0.039","0.31126663"
"40","0.040","0.31311996"
"41","0.041","0.31023286"
"42","0.042","0.31216070"
"43","0.043","0.31158328"
"44","0.044","0.31104311"
"45","0.045","0.31205826"
"46","0.046","0.31113625"
"47","0.047","0.31092204"
"48","0.048","0.31100586"
"49","0.049","0.31129457"
"50","0.050","0.31123869"
"51","0.051","0.31244010"
"52","0.052","0.31325035"
"53","0.053","0.31042844"
"54","0.054","0.31257048"
"55","0.055","0.31211413"
"56","0.056","0.31265430"
"57","0.057","0.31117350"
"58","0.058","0.31037256"
"59","0.059","0.31083822"
"60","0.060","0.31255186"
"61","0.061","0.31113625"
"62","0.062","0.31171367"
"63","0.063","0.31167641"
"64","0.064","0.30998141"
"65","0.065","0.31211413"
"66","0.066","0.31040050"
"67","0.067","0.31132251"
"68","0.068","0.31120144"
"69","0.069","0.31182542"
"70","0.070","0.31144358"
"71","0.071","0.31219795"
"72","0.072","0.31107105"
"73","0.073","0.31131320"
"74","0.074","0.31100586"
"75","0.075","0.31160191"
"76","0.076","0.31252392"
"77","0.077","0.31086616"
"78","0.078","0.31176023"
"79","0.079","0.31062402"
"80","0.080","0.31108968"
"81","0.081","0.31273812"
"82","0.082","0.31220727"
"83","0.083","0.31110831"
"84","0.084","0.31244941"
"85","0.085","0.31068921"
"86","0.086","0.31099655"
"87","0.087","0.31223521"
"88","0.088","0.30994415"
"89","0.089","0.31149015"
"90","0.090","0.31181611"
"91","0.091","0.31130388"
"92","0.092","0.30949712"
"93","0.093","0.31133182"
"94","0.094","0.31226315"
"95","0.095","0.31166710"
"96","0.096","0.31220727"
"97","0.097","0.31109899"
"98","0.098","0.31202100"
"99","0.099","0.31184405"
"100","0.100","0.31258911"
"101","0.101","0.31191856"
"102","0.102","0.31110831"
"103","0.103","0.31061471"
"104","0.104","0.31080097"
"105","0.105","0.31048432"
