"Device: USB-2408-2AO"
"Serial Number: 1C3CD25"
"Channel Count: 1"
"Sample Count: 3279"
"Start Time: 2/5/2020 11:08:05.938 AM"
"Scan Rate: 1000"
"Sample","Time (s)","AI4 (mV)"
"0","0.000","0.87601133"
"1","0.001","0.87689608"
"2","0.002","0.87670051"
"3","0.003","0.87689608"
"4","0.004","0.87611377"
"5","0.005","0.87581575"
"6","0.006","0.87709166"
"7","0.007","0.87609515"
"8","0.008","0.87687746"
"9","0.009","0.87481923"
"10","0.010","0.87559223"
"11","0.011","0.87506138"
"12","0.012","0.87468885"
"13","0.013","0.87693334"
"14","0.014","0.87536871"
"15","0.015","0.87624416"
"16","0.016","0.87512657"
"17","0.017","0.87734312"
"18","0.018","0.87695196"
"19","0.019","0.87539665"
"20","0.020","0.87628141"
"21","0.021","0.87605789"
"22","0.022","0.87360851"
"23","0.023","0.87453052"
"24","0.024","0.87657012"
"25","0.025","0.87466091"
"26","0.026","0.87633729"
"27","0.027","0.87707303"
"28","0.028","0.87643042"
"29","0.029","0.87677501"
"30","0.030","0.87684020"
"31","0.031","0.87721273"
"32","0.032","0.87610446"
"33","0.033","0.87516382"
"34","0.034","0.87623484"
"35","0.035","0.87630935"
"36","0.036","0.87552704"
"37","0.037","0.87749213"
"38","0.038","0.87638386"
"39","0.039","0.87669119"
"40","0.040","0.87610446"
"41","0.041","0.87486580"
"42","0.042","0.87544322"
"43","0.043","0.87599270"
"44","0.044","0.87499619"
"45","0.045","0.87710097"
"46","0.046","0.87625347"
"47","0.047","0.87650493"
"48","0.048","0.87562017"
"49","0.049","0.87682158"
"50","0.050","0.87639317"
"51","0.051","0.87603927"
"52","0.052","0.87761320"
"53","0.053","0.87548047"
"54","0.054","0.87524764"
"55","0.055","0.87540597"
"56","0.056","0.87560154"
"57","0.057","0.87510794"
"58","0.058","0.87579712"
"59","0.059","0.87518245"
"60","0.060","0.87600201"
"61","0.061","0.87562948"
"62","0.062","0.87583438"
"63","0.063","0.87556429"
"64","0.064","0.87503344"
"65","0.065","0.87672845"
"66","0.066","0.87516382"
"67","0.067","0.87597407"
"68","0.068","0.87528490"
"69","0.069","0.87690540"
"70","0.070","0.87683089"
"71","0.071","0.87536871"
"72","0.072","0.87345019"
"73","0.073","0.87625347"
"74","0.074","0.87499619"
"75","0.075","0.87522902"
"76","0.076","0.87496825"
"77","0.077","0.87616034"
"78","0.078","0.87530352"
"79","0.079","0.87550841"
"80","0.080","0.87592751"
"81","0.081","0.87643042"
"82","0.082","0.87581575"
"83","0.083","0.87582506"
"84","0.084","0.87580644"
"85","0.085","0.87401830"
"86","0.086","0.87582506"
"87","0.087","0.87551773"
"88","0.088","0.87399036"
"89","0.089","0.87526627"
"90","0.090","0.87535940"
"91","0.091","0.87530352"
"92","0.092","0.87596476"
"93","0.093","0.87522902"
"94","0.094","0.87493099"
"95","0.095","0.87353401"
"96","0.096","0.87661669"
"97","0.097","0.87454915"
"98","0.098","0.87449327"
"99","0.099","0.87541528"
"100","0.100","0.87572262"
"101","0.101","0.87563880"
"102","0.102","0.87664463"
"103","0.103","0.87622553"
"104","0.104","0.87434426"
"105","0.105","0.87592751"
"106","0.106","0.87452121"
"107","0.107","0.87498687"
"108","0.108","0.87447464"
"109","0.109","0.87529421"
"110","0.110","0.87542459"
"111","0.111","0.87542459"
"112","0.112","0.87629072"
