"Device: USB-2408-2AO"
"Serial Number: 1C3CD25"
"Channel Count: 1"
"Sample Count: 2031"
"Start Time: 2/5/2020 10:27:06.966 AM"
"Scan Rate: 1000"
"Sample","Time (s)","AI4 (mV)"
"0","0.000","0.31027943"
"1","0.001","0.30996278"
"2","0.002","0.30927360"
"3","0.003","0.31008385"
"4","0.004","0.30862167"
"5","0.005","0.31085685"
"6","0.006","0.31055883"
"7","0.007","0.30901283"
"8","0.008","0.31000935"
"9","0.009","0.30850992"
"10","0.010","0.30950643"
"11","0.011","0.31080097"
"12","0.012","0.31115487"
"13","0.013","0.30990690"
"14","0.014","0.30823052"
"15","0.015","0.31185336"
"16","0.016","0.31126663"
"17","0.017","0.30909665"
"18","0.018","0.31023286"
"19","0.019","0.31045638"
"20","0.020","0.31107105"
"21","0.021","0.31130388"
"22","0.022","0.31072646"
"23","0.023","0.30948780"
"24","0.024","0.31021424"
"25","0.025","0.31111762"
"26","0.026","0.30938536"
"27","0.027","0.30979514"
"28","0.028","0.31054020"
"29","0.029","0.31163916"
"30","0.030","0.31001866"
"31","0.031","0.31044707"
"32","0.032","0.31079166"
"33","0.033","0.30942261"
"34","0.034","0.31038187"
"35","0.035","0.31120144"
"36","0.036","0.31021424"
"37","0.037","0.31091273"
"38","0.038","0.30988827"
"39","0.039","0.31086616"
"40","0.040","0.30888245"
"41","0.041","0.30990690"
"42","0.042","0.31001866"
"43","0.043","0.31032600"
"44","0.044","0.31067990"
"45","0.045","0.31070784"
"46","0.046","0.31230040"
"47","0.047","0.31007454"
"48","0.048","0.31104311"
"49","0.049","0.30947849"
"50","0.050","0.30940399"
"51","0.051","0.31116419"
"52","0.052","0.30957162"
"53","0.053","0.30973926"
"54","0.054","0.31156465"
"55","0.055","0.30932948"
"56","0.056","0.30997209"
"57","0.057","0.30985102"
"58","0.058","0.31029806"
"59","0.059","0.31052157"
"60","0.060","0.31040050"
"61","0.061","0.30968338"
"62","0.062","0.31051226"
"63","0.063","0.31030737"
"64","0.064","0.30875206"
"65","0.065","0.31025149"
"66","0.066","0.31013042"
"67","0.067","0.31169504"
"68","0.068","0.31201169"
"69","0.069","0.31108037"
"70","0.070","0.31058677"
"71","0.071","0.31110831"
"72","0.072","0.30932017"
"73","0.073","0.31088479"
"74","0.074","0.31125732"
"75","0.075","0.31069852"
"76","0.076","0.31040050"
"77","0.077","0.31073578"
"78","0.078","0.30989759"
"79","0.079","0.31179748"
"80","0.080","0.30911528"
"81","0.081","0.31040050"
"82","0.082","0.31185336"
"83","0.083","0.30961819"
"84","0.084","0.31080097"
"85","0.085","0.31061471"
"86","0.086","0.30972995"
"87","0.087","0.30979514"
"88","0.088","0.31000935"
"89","0.089","0.30889176"
"90","0.090","0.31037256"
"91","0.091","0.31132251"
"92","0.092","0.31046569"
"93","0.093","0.31011179"
"94","0.094","0.31034462"
"95","0.095","0.31063333"
"96","0.096","0.31113625"
"97","0.097","0.31081960"
"98","0.098","0.31135045"
"99","0.099","0.31057745"
"100","0.100","0.31034462"
"101","0.101","0.30998141"
"102","0.102","0.31137839"
"103","0.103","0.30919909"
"104","0.104","0.31001866"
"105","0.105","0.31023286"
"106","0.106","0.30957162"
"107","0.107","0.31002797"
"108","0.108","0.31132251"
"109","0.109","0.30983239"
"110","0.110","0.31099655"
"111","0.111","0.31143427"
"112","0.112","0.31020492"
"113","0.113","0.31016767"
"114","0.114","0.31023286"
"115","0.115","0.31188130"
"116","0.116","0.31235628"
"117","0.117","0.31058677"
"118","0.118","0.31123869"
"119","0.119","0.30931085"
"120","0.120","0.31036325"
"121","0.121","0.30926429"
"122","0.122","0.30978583"
"123","0.123","0.31002797"
"124","0.124","0.30902214"
"125","0.125","0.31029806"
"126","0.126","0.31136908"
"127","0.127","0.31067058"
"128","0.128","0.30891038"
"129","0.129","0.31099655"
"130","0.130","0.30967407"
"131","0.131","0.31023286"
"132","0.132","0.31051226"
"133","0.133","0.30980445"
"134","0.134","0.30954368"
"135","0.135","0.31028874"
"136","0.136","0.31133182"
"137","0.137","0.31069852"
"138","0.138","0.30896626"
"139","0.139","0.31092204"
"140","0.140","0.31131320"
"141","0.141","0.30979514"
"142","0.142","0.31084754"
"143","0.143","0.30985102"
"144","0.144","0.31096861"
"145","0.145","0.31000003"
"146","0.146","0.31160191"
"147","0.147","0.31089410"
"148","0.148","0.31023286"
"149","0.149","0.31071715"
"150","0.150","0.30959956"
"151","0.151","0.30981377"
"152","0.152","0.31009316"
"153","0.153","0.31039119"
"154","0.154","0.31022355"
"155","0.155","0.30976720"
"156","0.156","0.31027012"
"157","0.157","0.31145290"
"158","0.158","0.31094067"
"159","0.159","0.30998141"
"160","0.160","0.31092204"
"161","0.161","0.31015836"
"162","0.162","0.31016767"
"163","0.163","0.31106174"
"164","0.164","0.31132251"
"165","0.165","0.30991621"
"166","0.166","0.31077303"
"167","0.167","0.31135045"
"168","0.168","0.31161122"
"169","0.169","0.31137839"
"170","0.170","0.31055883"
"171","0.171","0.30867755"
"172","0.172","0.31027012"
"173","0.173","0.31078234"
"174","0.174","0.30909665"
"175","0.175","0.31057745"
"176","0.176","0.31063333"
"177","0.177","0.31005591"
"178","0.178","0.31019561"
"179","0.179","0.31096861"
"180","0.180","0.31071715"
"181","0.181","0.31075440"
"182","0.182","0.31078234"
"183","0.183","0.31045638"
"184","0.184","0.31100586"
"185","0.185","0.31051226"
"186","0.186","0.30848198"
