"Device: USB-2408-2AO"
"Serial Number: 1C3CD25"
"Channel Count: 1"
"Sample Count: 2879"
"Start Time: 2/5/2020 10:54:05.749 AM"
"Scan Rate: 1000"
"Sample","Time (s)","AI4 (mV)"
"0","0.000","0.31255186"
"1","0.001","0.31516887"
"2","0.002","0.31280331"
"3","0.003","0.31420961"
"4","0.004","0.31337142"
"5","0.005","0.31342730"
"6","0.006","0.31325035"
"7","0.007","0.31406991"
"8","0.008","0.31464733"
"9","0.009","0.31282194"
"10","0.010","0.31374395"
"11","0.011","0.31569973"
"12","0.012","0.31339936"
"13","0.013","0.31319447"
"14","0.014","0.31487085"
"15","0.015","0.31334348"
"16","0.016","0.31407923"
"17","0.017","0.31330623"
"18","0.018","0.31226315"
"19","0.019","0.31424686"
"20","0.020","0.31330623"
"21","0.021","0.31393021"
"22","0.022","0.31196512"
"23","0.023","0.31344593"
"24","0.024","0.31357631"
"25","0.025","0.31208619"
"26","0.026","0.31411648"
"27","0.027","0.31316653"
"28","0.028","0.31256117"
"29","0.029","0.31374395"
"30","0.030","0.31366013"
"31","0.031","0.31348318"
"32","0.032","0.31325966"
"33","0.033","0.31166710"
"34","0.034","0.31557865"
"35","0.035","0.31393953"
"36","0.036","0.31367876"
"37","0.037","0.31405129"
"38","0.038","0.31509437"
"39","0.039","0.31252392"
"40","0.040","0.31357631"
"41","0.041","0.31266361"
"42","0.042","0.31307340"
"43","0.043","0.31324103"
"44","0.044","0.31517819"
"45","0.045","0.31388365"
"46","0.046","0.31355768"
"47","0.047","0.31178817"
"48","0.048","0.31320378"
"49","0.049","0.31302683"
"50","0.050","0.31339005"
"51","0.051","0.31276606"
"52","0.052","0.31276606"
"53","0.053","0.31434931"
"54","0.054","0.31203032"
"55","0.055","0.31516887"
"56","0.056","0.31362288"
"57","0.057","0.31246804"
"58","0.058","0.31465665"
"59","0.059","0.31145290"
"60","0.060","0.31261705"
"61","0.061","0.31366013"
"62","0.062","0.31443313"
"63","0.063","0.31349249"
"64","0.064","0.31318516"
"65","0.065","0.31257048"
"66","0.066","0.31239353"
"67","0.067","0.31239353"
"68","0.068","0.31374395"
"69","0.069","0.31320378"
"70","0.070","0.31240284"
"71","0.071","0.31292439"
"72","0.072","0.31355768"
"73","0.073","0.31283125"
"74","0.074","0.31421892"
"75","0.075","0.31199306"
"76","0.076","0.31420030"
"77","0.077","0.31142496"
"78","0.078","0.31428412"
"79","0.079","0.31265430"
"80","0.080","0.31315722"
"81","0.081","0.31379983"
"82","0.082","0.31308271"
"83","0.083","0.31355768"
"84","0.084","0.31171367"
"85","0.085","0.31379052"
"86","0.086","0.31480566"
"87","0.087","0.31323172"
"88","0.088","0.31285919"
"89","0.089","0.31434931"
"90","0.090","0.31187199"
"91","0.091","0.31296164"
"92","0.092","0.31238422"
"93","0.093","0.31275675"
"94","0.094","0.31230971"
"95","0.095","0.31402335"
"96","0.096","0.31252392"
"97","0.097","0.31308271"
"98","0.098","0.31496398"
"99","0.099","0.31396747"
"100","0.100","0.31391159"
"101","0.101","0.31294301"
"102","0.102","0.31386502"
"103","0.103","0.31467527"
"104","0.104","0.31286851"
"105","0.105","0.31279400"
