"Device: USB-2408-2AO"
"Serial Number: 1C3CD25"
"Channel Count: 1"
"Sample Count: 2847"
"Start Time: 2/5/2020 10:26:33.074 AM"
"Scan Rate: 1000"
"Sample","Time (s)","AI4 (mV)"
"0","0.000","0.30947849"
"1","0.001","0.30850060"
"2","0.002","0.30902214"
"3","0.003","0.30848198"
"4","0.004","0.30832365"
"5","0.005","0.30926429"
"6","0.006","0.30821189"
"7","0.007","0.30824915"
"8","0.008","0.30923635"
"9","0.009","0.30892901"
"10","0.010","0.30898489"
"11","0.011","0.30813739"
"12","0.012","0.30782074"
"13","0.013","0.30947849"
"14","0.014","0.30839816"
"15","0.015","0.30964613"
"16","0.016","0.30906871"
"17","0.017","0.30736439"
"18","0.018","0.30933879"
"19","0.019","0.30855648"
"20","0.020","0.30866824"
"21","0.021","0.30892901"
"22","0.022","0.30886382"
"23","0.023","0.30904077"
"24","0.024","0.30984171"
"25","0.025","0.30891038"
"26","0.026","0.30885451"
"27","0.027","0.31021424"
"28","0.028","0.30804425"
"29","0.029","0.30900352"
"30","0.030","0.30839816"
"31","0.031","0.30848198"
"32","0.032","0.30831434"
"33","0.033","0.30992553"
"34","0.034","0.30827709"
"35","0.035","0.30937605"
"36","0.036","0.30813739"
"37","0.037","0.30988827"
"38","0.038","0.30791387"
"39","0.039","0.30959025"
"40","0.040","0.30898489"
"41","0.041","0.30844472"
"42","0.042","0.30800700"
"43","0.043","0.30980445"
"44","0.044","0.30653551"
"45","0.045","0.30750409"
"46","0.046","0.30706637"
"47","0.047","0.30805357"
"48","0.048","0.30792318"
"49","0.049","0.30828640"
"50","0.050","0.30798838"
"51","0.051","0.30883588"
"52","0.052","0.30783936"
"53","0.053","0.30913390"
"54","0.054","0.30908734"
"55","0.055","0.30886382"
"56","0.056","0.30873343"
"57","0.057","0.30992553"
"58","0.058","0.30785799"
"59","0.059","0.31009316"
"60","0.060","0.30783936"
"61","0.061","0.30933879"
"62","0.062","0.30747615"
"63","0.063","0.30732714"
"64","0.064","0.30845404"
"65","0.065","0.30858442"
"66","0.066","0.30848198"
"67","0.067","0.30824915"
"68","0.068","0.30790456"
"69","0.069","0.30881725"
"70","0.070","0.30938536"
"71","0.071","0.30772761"
"72","0.072","0.30850060"
"73","0.073","0.30808151"
"74","0.074","0.30839816"
"75","0.075","0.30823052"
"76","0.076","0.30810013"
"77","0.077","0.30878931"
"78","0.078","0.30853786"
"79","0.079","0.30891970"
"80","0.080","0.30844472"
"81","0.081","0.30787662"
"82","0.082","0.30913390"
"83","0.083","0.30738302"
"84","0.084","0.30898489"
"85","0.085","0.30748546"
"86","0.086","0.30839816"
"87","0.087","0.30835159"
"88","0.088","0.30751340"
"89","0.089","0.30941330"
"90","0.090","0.30923635"
"91","0.091","0.30903146"
"92","0.092","0.30728988"
"93","0.093","0.30810013"
"94","0.094","0.30928291"
"95","0.095","0.30853786"
"96","0.096","0.30724332"
"97","0.097","0.30743890"
"98","0.098","0.30696392"
"99","0.099","0.30881725"
"100","0.100","0.30881725"
"101","0.101","0.30846335"
"102","0.102","0.30950643"
"103","0.103","0.30948780"
"104","0.104","0.30805357"
"105","0.105","0.30909665"
"106","0.106","0.30841678"
"107","0.107","0.31031668"
"108","0.108","0.30721538"
"109","0.109","0.30806288"
"110","0.110","0.30759722"
"111","0.111","0.31041913"
"112","0.112","0.30635856"
"113","0.113","0.30759722"
"114","0.114","0.30907802"
"115","0.115","0.30881725"
"116","0.116","0.30891038"
"117","0.117","0.30783936"
"118","0.118","0.30755065"
"119","0.119","0.30741096"
"120","0.120","0.30811876"
"121","0.121","0.30889176"
"122","0.122","0.30859374"
"123","0.123","0.30765310"
"124","0.124","0.30985102"
"125","0.125","0.30810945"
"126","0.126","0.30875206"
"127","0.127","0.30911528"
"128","0.128","0.30888245"
"129","0.129","0.30926429"
"130","0.130","0.30891038"
"131","0.131","0.30817464"
"132","0.132","0.30844472"
"133","0.133","0.30762516"
"134","0.134","0.31060539"
"135","0.135","0.30724332"
"136","0.136","0.30907802"
"137","0.137","0.30835159"
"138","0.138","0.30874275"
"139","0.139","0.30775554"
"140","0.140","0.31025149"
"141","0.141","0.30896626"
"142","0.142","0.30779280"
"143","0.143","0.30839816"
"144","0.144","0.30795112"
"145","0.145","0.30858442"
"146","0.146","0.30944124"
"147","0.147","0.30984171"
"148","0.148","0.30952506"
"149","0.149","0.30972995"
"150","0.150","0.30901283"
"151","0.151","0.30858442"
"152","0.152","0.30957162"
"153","0.153","0.30858442"
"154","0.154","0.30893832"
"155","0.155","0.30910596"
"156","0.156","0.30922703"
"157","0.157","0.30844472"
"158","0.158","0.30742027"
"159","0.159","0.31053089"
"160","0.160","0.30864030"
"161","0.161","0.30828640"
"162","0.162","0.30610710"
"163","0.163","0.30783005"
"164","0.164","0.30873343"
"165","0.165","0.30966476"
"166","0.166","0.30775554"
"167","0.167","0.30786730"
"168","0.168","0.30892901"
"169","0.169","0.30780211"
"170","0.170","0.30964613"
"171","0.171","0.30887313"
"172","0.172","0.30841678"
"173","0.173","0.30833296"
"174","0.174","0.30764379"
"175","0.175","0.30987896"
"176","0.176","0.30794181"
"177","0.177","0.30932017"
"178","0.178","0.30783005"
"179","0.179","0.30837953"
"180","0.180","0.30887313"
"181","0.181","0.30782074"
"182","0.182","0.30938536"
"183","0.183","0.30774623"
"184","0.184","0.30828640"
"185","0.185","0.30606985"
"186","0.186","0.30649826"
"187","0.187","0.30991621"
"188","0.188","0.30760653"
"189","0.189","0.30811876"
"190","0.190","0.30750409"
"191","0.191","0.30839816"
"192","0.192","0.31033531"
"193","0.193","0.30859374"
"194","0.194","0.30914322"
"195","0.195","0.30945987"
"196","0.196","0.30929223"
"197","0.197","0.30853786"
"198","0.198","0.30719675"
"199","0.199","0.30719675"
"200","0.200","0.30766241"
"201","0.201","0.30800700"
"202","0.202","0.30891970"
"203","0.203","0.30753203"
"204","0.204","0.30857511"
"205","0.205","0.30877069"
"206","0.206","0.30742958"
"207","0.207","0.30817464"
"208","0.208","0.30810945"
"209","0.209","0.30835159"
"210","0.210","0.30822121"
"211","0.211","0.30778348"
"212","0.212","0.30792318"
"213","0.213","0.30929223"
"214","0.214","0.30799769"
"215","0.215","0.30760653"
"216","0.216","0.30852854"
"217","0.217","0.30833296"
"218","0.218","0.30719675"
"219","0.219","0.30597672"
"220","0.220","0.30783005"
"221","0.221","0.30795112"
"222","0.222","0.30808151"
"223","0.223","0.30797906"
"224","0.224","0.30825846"
"225","0.225","0.30880794"
"226","0.226","0.30851923"
"227","0.227","0.30793250"
"228","0.228","0.30659139"
"229","0.229","0.30854717"
"230","0.230","0.30795112"
"231","0.231","0.30782074"
"232","0.232","0.30773692"
"233","0.233","0.30879863"
"234","0.234","0.31047501"
"235","0.235","0.30817464"
"236","0.236","0.30656345"
"237","0.237","0.30826777"
"238","0.238","0.30999072"
"239","0.239","0.30864030"
"240","0.240","0.30892901"
"241","0.241","0.30936673"
"242","0.242","0.30724332"
"243","0.243","0.30755997"
"244","0.244","0.30783005"
"245","0.245","0.30915253"
"246","0.246","0.30824915"
"247","0.247","0.30857511"
"248","0.248","0.30884519"
"249","0.249","0.30767173"
"250","0.250","0.30861236"
"251","0.251","0.30728057"
"252","0.252","0.30621886"
"253","0.253","0.30653551"
"254","0.254","0.30866824"
"255","0.255","0.30735508"
"256","0.256","0.30934811"
"257","0.257","0.30929223"
"258","0.258","0.30710362"
"259","0.259","0.30719675"
"260","0.260","0.30742958"
"261","0.261","0.30751340"
"262","0.262","0.30866824"
"263","0.263","0.30760653"
"264","0.264","0.30724332"
"265","0.265","0.30893832"
"266","0.266","0.30799769"
"267","0.267","0.30896626"
"268","0.268","0.30718744"
"269","0.269","0.30944124"
"270","0.270","0.30786730"
"271","0.271","0.30877069"
"272","0.272","0.30840747"
"273","0.273","0.30812807"
"274","0.274","0.30873343"
"275","0.275","0.30804425"
"276","0.276","0.30805357"
"277","0.277","0.30841678"
"278","0.278","0.31045638"
"279","0.279","0.30901283"
"280","0.280","0.30822121"
"281","0.281","0.30781142"
"282","0.282","0.30851923"
"283","0.283","0.30600466"
"284","0.284","0.30790456"
"285","0.285","0.30901283"
"286","0.286","0.30849129"
"287","0.287","0.30960888"
"288","0.288","0.30934811"
"289","0.289","0.30724332"
"290","0.290","0.30953437"
"291","0.291","0.30758791"
"292","0.292","0.30854717"
"293","0.293","0.30919909"
"294","0.294","0.30871481"
"295","0.295","0.30908734"
"296","0.296","0.30663796"
"297","0.297","0.30963682"
"298","0.298","0.30890107"
"299","0.299","0.30835159"
"300","0.300","0.30936673"
"301","0.301","0.30755065"
"302","0.302","0.30759722"
"303","0.303","0.30872412"
"304","0.304","0.30922703"
"305","0.305","0.30884519"
"306","0.306","0.30858442"
"307","0.307","0.30761585"
"308","0.308","0.30708499"
"309","0.309","0.30552037"
"310","0.310","0.30639581"
"311","0.311","0.30764379"
"312","0.312","0.30837022"
"313","0.313","0.30909665"
"314","0.314","0.30707568"
"315","0.315","0.30755997"
"316","0.316","0.30815601"
"317","0.317","0.30861236"
"318","0.318","0.30776486"
"319","0.319","0.31041913"
"320","0.320","0.30666590"
"321","0.321","0.30879863"
"322","0.322","0.30792318"
"323","0.323","0.30725263"
"324","0.324","0.30886382"
"325","0.325","0.30680560"
"326","0.326","0.30978583"
"327","0.327","0.30733645"
"328","0.328","0.30740164"
"329","0.329","0.30805357"
"330","0.330","0.30926429"
"331","0.331","0.30831434"
"332","0.332","0.30827709"
"333","0.333","0.30968338"
"334","0.334","0.30880794"
"335","0.335","0.30857511"
"336","0.336","0.30724332"
"337","0.337","0.30962750"
"338","0.338","0.30804425"
"339","0.339","0.30874275"
"340","0.340","0.31010248"
"341","0.341","0.30937605"
"342","0.342","0.30953437"
"343","0.343","0.30907802"
"344","0.344","0.30938536"
"345","0.345","0.30784868"
"346","0.346","0.30911528"
"347","0.347","0.30967407"
"348","0.348","0.30857511"
"349","0.349","0.30863099"
"350","0.350","0.30660070"
"351","0.351","0.30940399"
"352","0.352","0.30641444"
"353","0.353","0.31129457"
"354","0.354","0.30818395"
"355","0.355","0.30817464"
"356","0.356","0.30822121"
"357","0.357","0.30704774"
"358","0.358","0.30724332"
"359","0.359","0.30801632"
"360","0.360","0.30817464"
"361","0.361","0.30767173"
"362","0.362","0.30914322"
"363","0.363","0.30790456"
"364","0.364","0.30728057"
"365","0.365","0.30810945"
"366","0.366","0.30847266"
"367","0.367","0.30858442"
"368","0.368","0.30732714"
"369","0.369","0.30646101"
"370","0.370","0.30773692"
"371","0.371","0.30732714"
"372","0.372","0.30739233"
"373","0.373","0.30769035"
"374","0.374","0.30907802"
"375","0.375","0.30743890"
"376","0.376","0.30752271"
"377","0.377","0.30808151"
"378","0.378","0.30826777"
"379","0.379","0.30781142"
"380","0.380","0.30903146"
"381","0.381","0.30799769"
"382","0.382","0.30803494"
"383","0.383","0.30857511"
"384","0.384","0.30898489"
"385","0.385","0.30881725"
"386","0.386","0.30698255"
"387","0.387","0.30738302"
"388","0.388","0.30878000"
"389","0.389","0.30788593"
"390","0.390","0.30820258"
"391","0.391","0.30874275"
"392","0.392","0.30760653"
"393","0.393","0.30731782"
"394","0.394","0.30850060"
"395","0.395","0.30810945"
"396","0.396","0.30964613"
"397","0.397","0.30837953"
"398","0.398","0.30968338"
"399","0.399","0.30713156"
"400","0.400","0.30783936"
"401","0.401","0.30951574"
"402","0.402","0.30661002"
"403","0.403","0.30705705"
"404","0.404","0.30887313"
"405","0.405","0.30852854"
"406","0.406","0.30844472"
"407","0.407","0.30837022"
"408","0.408","0.30870549"
"409","0.409","0.30921772"
"410","0.410","0.30968338"
"411","0.411","0.31002797"
"412","0.412","0.30780211"
"413","0.413","0.30804425"
"414","0.414","0.30870549"
"415","0.415","0.30783936"
"416","0.416","0.30875206"
"417","0.417","0.30662864"
"418","0.418","0.30810013"
"419","0.419","0.30811876"
"420","0.420","0.30758791"
"421","0.421","0.30806288"
"422","0.422","0.31064264"
"423","0.423","0.30789524"
"424","0.424","0.30752271"
"425","0.425","0.30806288"
"426","0.426","0.30858442"
"427","0.427","0.30887313"
"428","0.428","0.30802563"
"429","0.429","0.30733645"
"430","0.430","0.30768104"
"431","0.431","0.30893832"
"432","0.432","0.30704774"
"433","0.433","0.30730851"
"434","0.434","0.30743890"
"435","0.435","0.30845404"
"436","0.436","0.30943193"
"437","0.437","0.30867755"
"438","0.438","0.30855648"
"439","0.439","0.30896626"
"440","0.440","0.30804425"
"441","0.441","0.30790456"
"442","0.442","0.30858442"
"443","0.443","0.30898489"
"444","0.444","0.30707568"
"445","0.445","0.30973926"
"446","0.446","0.30815601"
"447","0.447","0.30946918"
"448","0.448","0.30854717"
"449","0.449","0.30874275"
"450","0.450","0.30606054"
"451","0.451","0.30801632"
"452","0.452","0.30861236"
"453","0.453","0.30716881"
"454","0.454","0.30913390"
"455","0.455","0.30869618"
"456","0.456","0.30945055"
"457","0.457","0.30966476"
"458","0.458","0.30934811"
"459","0.459","0.30983239"
"460","0.460","0.30829571"
"461","0.461","0.30887313"
"462","0.462","0.30718744"
"463","0.463","0.30725263"
"464","0.464","0.31008385"
"465","0.465","0.30868687"
"466","0.466","0.30937605"
"467","0.467","0.30948780"
"468","0.468","0.30835159"
"469","0.469","0.30818395"
"470","0.470","0.30766241"
"471","0.471","0.30809082"
"472","0.472","0.30869618"
"473","0.473","0.30821189"
"474","0.474","0.30833296"
"475","0.475","0.30887313"
"476","0.476","0.30763447"
"477","0.477","0.30796044"
"478","0.478","0.30840747"
"479","0.479","0.30686148"
"480","0.480","0.30873343"
"481","0.481","0.30853786"
"482","0.482","0.30733645"
"483","0.483","0.30839816"
"484","0.484","0.30891038"
"485","0.485","0.30938536"
"486","0.486","0.30944124"
"487","0.487","0.30789524"
"488","0.488","0.30849129"
"489","0.489","0.30850060"
"490","0.490","0.30845404"
"491","0.491","0.30843541"
"492","0.492","0.30766241"
"493","0.493","0.30961819"
"494","0.494","0.30928291"
"495","0.495","0.30761585"
"496","0.496","0.30802563"
"497","0.497","0.30806288"
"498","0.498","0.30762516"
"499","0.499","0.30886382"
"500","0.500","0.30821189"
"501","0.501","0.30847266"
"502","0.502","0.30738302"
"503","0.503","0.30913390"
"504","0.504","0.30947849"
"505","0.505","0.30843541"
"506","0.506","0.30794181"
"507","0.507","0.30798838"
"508","0.508","0.30840747"
"509","0.509","0.30891970"
"510","0.510","0.30843541"
"511","0.511","0.30931085"
"512","0.512","0.30912459"
"513","0.513","0.30851923"
"514","0.514","0.30793250"
"515","0.515","0.30889176"
"516","0.516","0.30863099"
"517","0.517","0.30959025"
"518","0.518","0.30860305"
"519","0.519","0.30907802"
"520","0.520","0.30823052"
"521","0.521","0.30878000"
"522","0.522","0.30925497"
"523","0.523","0.30882657"
"524","0.524","0.30864030"
"525","0.525","0.30840747"
"526","0.526","0.30799769"
"527","0.527","0.30851923"
"528","0.528","0.30872412"
"529","0.529","0.30833296"
"530","0.530","0.30791387"
"531","0.531","0.30893832"
"532","0.532","0.30925497"
"533","0.533","0.30793250"
"534","0.534","0.30739233"
"535","0.535","0.31022355"
"536","0.536","0.30795112"
"537","0.537","0.30861236"
"538","0.538","0.30977651"
"539","0.539","0.30846335"
"540","0.540","0.30768104"
"541","0.541","0.30937605"
"542","0.542","0.30863099"
"543","0.543","0.30730851"
"544","0.544","0.30710362"
"545","0.545","0.30778348"
"546","0.546","0.30863099"
"547","0.547","0.30830503"
"548","0.548","0.30859374"
"549","0.549","0.30946918"
"550","0.550","0.30846335"
"551","0.551","0.30879863"
"552","0.552","0.30782074"
"553","0.553","0.30775554"
"554","0.554","0.30901283"
"555","0.555","0.30894764"
"556","0.556","0.30776486"
"557","0.557","0.30904077"
"558","0.558","0.30798838"
"559","0.559","0.30791387"
"560","0.560","0.31042844"
"561","0.561","0.30822121"
"562","0.562","0.30893832"
"563","0.563","0.31040050"
"564","0.564","0.30896626"
"565","0.565","0.30915253"
"566","0.566","0.30655414"
"567","0.567","0.31099655"
"568","0.568","0.30695461"
"569","0.569","0.30877069"
"570","0.570","0.30904077"
"571","0.571","0.30752271"
"572","0.572","0.30800700"
"573","0.573","0.30792318"
"574","0.574","0.30870549"
"575","0.575","0.30915253"
"576","0.576","0.30746683"
"577","0.577","0.30877069"
"578","0.578","0.30994415"
"579","0.579","0.30853786"
"580","0.580","0.30661933"
"581","0.581","0.30837953"
"582","0.582","0.30860305"
"583","0.583","0.30913390"
"584","0.584","0.30847266"
"585","0.585","0.30783005"
"586","0.586","0.30812807"
"587","0.587","0.30945055"
"588","0.588","0.30850060"
"589","0.589","0.30810013"
"590","0.590","0.30782074"
"591","0.591","0.30866824"
"592","0.592","0.30883588"
"593","0.593","0.30874275"
"594","0.594","0.30810013"
"595","0.595","0.30779280"
"596","0.596","0.30765310"
"597","0.597","0.30945987"
"598","0.598","0.30919909"
"599","0.599","0.30813739"
"600","0.600","0.30757859"
"601","0.601","0.30937605"
"602","0.602","0.30891038"
"603","0.603","0.30892901"
"604","0.604","0.30858442"
"605","0.605","0.30825846"
"606","0.606","0.30914322"
"607","0.607","0.30822121"
"608","0.608","0.30901283"
"609","0.609","0.30750409"
"610","0.610","0.30910596"
"611","0.611","0.30718744"
"612","0.612","0.31002797"
"613","0.613","0.30751340"
"614","0.614","0.30820258"
"615","0.615","0.30674040"
"616","0.616","0.30795112"
"617","0.617","0.30934811"
"618","0.618","0.30834228"
"619","0.619","0.30881725"
"620","0.620","0.30793250"
"621","0.621","0.30804425"
"622","0.622","0.30780211"
"623","0.623","0.30919909"
"624","0.624","0.30740164"
"625","0.625","0.30799769"
"626","0.626","0.30934811"
"627","0.627","0.30845404"
"628","0.628","0.30730851"
"629","0.629","0.30821189"
"630","0.630","0.30812807"
"631","0.631","0.30888245"
"632","0.632","0.30793250"
"633","0.633","0.30949712"
"634","0.634","0.30891038"
"635","0.635","0.30831434"
"636","0.636","0.30891970"
"637","0.637","0.30729920"
"638","0.638","0.30956231"
"639","0.639","0.30833296"
"640","0.640","0.30918978"
"641","0.641","0.30822121"
"642","0.642","0.30853786"
"643","0.643","0.30847266"
"644","0.644","0.30931085"
"645","0.645","0.30826777"
"646","0.646","0.30857511"
"647","0.647","0.30822121"
"648","0.648","0.30788593"
"649","0.649","0.30791387"
"650","0.650","0.30850992"
"651","0.651","0.30732714"
"652","0.652","0.30745752"
"653","0.653","0.30842610"
"654","0.654","0.30799769"
"655","0.655","0.30779280"
"656","0.656","0.30790456"
"657","0.657","0.30985102"
"658","0.658","0.30878000"
"659","0.659","0.30779280"
"660","0.660","0.30770898"
"661","0.661","0.30809082"
"662","0.662","0.30802563"
"663","0.663","0.30824915"
"664","0.664","0.30937605"
"665","0.665","0.30986033"
"666","0.666","0.30794181"
"667","0.667","0.30886382"
"668","0.668","0.30855648"
"669","0.669","0.30785799"
"670","0.670","0.30961819"
"671","0.671","0.30922703"
"672","0.672","0.30851923"
"673","0.673","0.30930154"
"674","0.674","0.30781142"
"675","0.675","0.30727126"
"676","0.676","0.30827709"
"677","0.677","0.30805357"
"678","0.678","0.30860305"
"679","0.679","0.30863099"
"680","0.680","0.30807219"
"681","0.681","0.30804425"
"682","0.682","0.30830503"
"683","0.683","0.30664727"
"684","0.684","0.30845404"
"685","0.685","0.30814670"
"686","0.686","0.30905940"
"687","0.687","0.30837022"
"688","0.688","0.30688941"
"689","0.689","0.30808151"
"690","0.690","0.30714087"
"691","0.691","0.30867755"
"692","0.692","0.30850992"
"693","0.693","0.30783005"
"694","0.694","0.30735508"
"695","0.695","0.30815601"
"696","0.696","0.30864961"
"697","0.697","0.30824915"
"698","0.698","0.30688010"
