"Device: USB-2408-2AO"
"Serial Number: 1C3CD25"
"Channel Count: 1"
"Sample Count: 2767"
"Start Time: 2/5/2020 10:28:13.690 AM"
"Scan Rate: 1000"
"Sample","Time (s)","AI4 (mV)"
"220","0.220","0.30431896"
"221","0.221","0.30508265"
"222","0.222","0.30428171"
"223","0.223","0.30404888"
"224","0.224","0.30431896"
"225","0.225","0.30414201"
"226","0.226","0.30489638"
"227","0.227","0.30468218"
"228","0.228","0.30517578"
"229","0.229","0.30343421"
"230","0.230","0.30416064"
"231","0.231","0.30453317"
"232","0.232","0.30508265"
"233","0.233","0.30487776"
"234","0.234","0.30534342"
"235","0.235","0.30444935"
"236","0.236","0.30254014"
"237","0.237","0.30403025"
"238","0.238","0.30227005"
"239","0.239","0.30323863"
"240","0.240","0.30444004"
"241","0.241","0.30413270"
"242","0.242","0.30362047"
"243","0.243","0.30525029"
"244","0.244","0.30488707"
"245","0.245","0.30423515"
"246","0.246","0.30375086"
"247","0.247","0.30478463"
"248","0.248","0.30350871"
"249","0.249","0.30464493"
"250","0.250","0.30424446"
"251","0.251","0.30371360"
"252","0.252","0.30449592"
"253","0.253","0.30515715"
"254","0.254","0.30373223"
"255","0.255","0.30446798"
"256","0.256","0.30409545"
"257","0.257","0.30457042"
"258","0.258","0.30261464"
"259","0.259","0.30441210"
"260","0.260","0.30447729"
"261","0.261","0.30472875"
"262","0.262","0.30393712"
"263","0.263","0.30414201"
"264","0.264","0.30388124"
"265","0.265","0.30406751"
"266","0.266","0.30405819"
"267","0.267","0.30767173"
"268","0.268","0.30388124"
"269","0.269","0.30476600"
"270","0.270","0.30489638"
"271","0.271","0.30508265"
"272","0.272","0.30477531"
"273","0.273","0.30615367"
"274","0.274","0.30387193"
"275","0.275","0.30403957"
"276","0.276","0.30488707"
"277","0.277","0.30484982"
"278","0.278","0.30572526"
"279","0.279","0.30349940"
"280","0.280","0.30471012"
"281","0.281","0.30310825"
"282","0.282","0.30426309"
"283","0.283","0.30344352"
