"Device: USB-2408-2AO"
"Serial Number: 1C3CD25"
"Channel Count: 1"
"Sample Count: 2991"
"Start Time: 2/5/2020 11:05:50.882 AM"
"Scan Rate: 1000"
"Sample","Time (s)","AI4 (mV)"
"0","0.000","0.86469576"
"1","0.001","0.86585060"
"2","0.002","0.86593442"
"3","0.003","0.86718239"
"4","0.004","0.86492859"
"5","0.005","0.86564571"
"6","0.006","0.86489134"
"7","0.007","0.86422078"
"8","0.008","0.86487271"
"9","0.009","0.86408108"
"10","0.010","0.86514279"
"11","0.011","0.86460263"
"12","0.012","0.86530112"
"13","0.013","0.86476095"
"14","0.014","0.86532906"
"15","0.015","0.86571090"
"16","0.016","0.86698681"
"17","0.017","0.86382031"
"18","0.018","0.86510554"
"19","0.019","0.86443499"
"20","0.020","0.86448155"
"21","0.021","0.86464919"
"22","0.022","0.86444430"
"23","0.023","0.86378306"
"24","0.024","0.86542219"
"25","0.025","0.86490065"
"26","0.026","0.86490996"
"27","0.027","0.86439773"
"28","0.028","0.86467713"
"29","0.029","0.86530112"
"30","0.030","0.86356886"
"31","0.031","0.86421147"
"32","0.032","0.86428598"
"33","0.033","0.86518936"
"34","0.034","0.86446293"
"35","0.035","0.86538494"
"36","0.036","0.86461194"
"37","0.037","0.86480752"
"38","0.038","0.86473301"
"39","0.039","0.86543150"
"40","0.040","0.86517073"
"41","0.041","0.86428598"
"42","0.042","0.86380169"
"43","0.043","0.86486340"
"44","0.044","0.86374581"
"45","0.045","0.86451881"
"46","0.046","0.86508691"
"47","0.047","0.86558983"
"48","0.048","0.86406246"
"49","0.049","0.86427666"
"50","0.050","0.86546876"
"51","0.051","0.86522661"
"52","0.052","0.86461194"
"53","0.053","0.86518005"
"54","0.054","0.86416490"
"55","0.055","0.86547807"
"56","0.056","0.86559914"
"57","0.057","0.86543150"
"58","0.058","0.86314045"
"59","0.059","0.86427666"
"60","0.060","0.86477026"
"61","0.061","0.86644664"
"62","0.062","0.86508691"
"63","0.063","0.86639076"
"64","0.064","0.86557120"
"65","0.065","0.86561777"
"66","0.066","0.86345710"
"67","0.067","0.86466782"
"68","0.068","0.86358748"
