"Device: USB-2408-2AO"
"Serial Number: 1C3CD25"
"Channel Count: 1"
"Sample Count: 2735"
"Start Time: 2/5/2020 10:55:03.821 AM"
"Scan Rate: 1000"
"Sample","Time (s)","AI4 (mV)"
"0","0.000","0.31506643"
"1","0.001","0.31465665"
"2","0.002","0.31479634"
"3","0.003","0.31356700"
"4","0.004","0.31473115"
"5","0.005","0.31261705"
"6","0.006","0.31500123"
"7","0.007","0.31460077"
"8","0.008","0.31476840"
"9","0.009","0.31426549"
"10","0.010","0.31529926"
"11","0.011","0.31281263"
"12","0.012","0.31485222"
"13","0.013","0.31515956"
"14","0.014","0.31537376"
"15","0.015","0.31497329"
"16","0.016","0.31444244"
"17","0.017","0.31461939"
"18","0.018","0.31339005"
"19","0.019","0.31396747"
"20","0.020","0.31487085"
"21","0.021","0.31506643"
"22","0.022","0.31423755"
"23","0.023","0.31279400"
"24","0.024","0.31562522"
"25","0.025","0.31516887"
"26","0.026","0.31399541"
"27","0.027","0.31319447"
"28","0.028","0.31268224"
"29","0.029","0.31486154"
"30","0.030","0.31408854"
"31","0.031","0.31254254"
"32","0.032","0.31505711"
"33","0.033","0.31389296"
"34","0.034","0.31569973"
"35","0.035","0.31441450"
"36","0.036","0.31484291"
"37","0.037","0.31549484"
"38","0.038","0.31499192"
"39","0.039","0.31373464"
"40","0.040","0.31505711"
"41","0.041","0.31433068"
"42","0.042","0.31503849"
"43","0.043","0.31188130"
"44","0.044","0.31371601"
"45","0.045","0.31247735"
"46","0.046","0.31386502"
"47","0.047","0.31284988"
"48","0.048","0.31524338"
"49","0.049","0.31326897"
"50","0.050","0.31314790"
"51","0.051","0.31337142"
"52","0.052","0.31474046"
"53","0.053","0.31305477"
"54","0.054","0.31329691"
"55","0.055","0.31445175"
"56","0.056","0.31423755"
"57","0.057","0.31316653"
"58","0.058","0.31288713"
"59","0.059","0.31339005"
"60","0.060","0.31225383"
"61","0.061","0.31406060"
"62","0.062","0.31347387"
"63","0.063","0.31355768"
"64","0.064","0.31489879"
"65","0.065","0.31141564"
"66","0.066","0.31545758"
"67","0.067","0.31370670"
"68","0.068","0.31236559"
"69","0.069","0.31217001"
"70","0.070","0.31468458"
"71","0.071","0.31425618"
"72","0.072","0.31317584"
"73","0.073","0.31509437"
"74","0.074","0.31522475"
"75","0.075","0.31311065"
"76","0.076","0.31307340"
"77","0.077","0.31356700"
"78","0.078","0.31521544"
"79","0.079","0.31455420"
"80","0.080","0.31420030"
"81","0.081","0.31658448"
"82","0.082","0.31298958"
"83","0.083","0.31382777"
"84","0.084","0.31599775"
"85","0.085","0.31439587"
"86","0.086","0.31648204"
"87","0.087","0.31481497"
"88","0.088","0.31620264"
"89","0.089","0.31512231"
"90","0.090","0.31434931"
"91","0.091","0.31296164"
"92","0.092","0.31663105"
"93","0.093","0.31522475"
"94","0.094","0.31695701"
"95","0.095","0.31799078"
"96","0.096","0.31893142"
"97","0.097","0.31362288"
"98","0.098","0.31251460"
"99","0.099","0.31537376"
"100","0.100","0.31695701"
"101","0.101","0.31981617"
"102","0.102","0.31669624"
"103","0.103","0.31717122"
"104","0.104","0.31615607"
"105","0.105","0.31671487"
"106","0.106","0.31660311"
"107","0.107","0.31421892"
"108","0.108","0.31741336"
"109","0.109","0.31628646"
"110","0.110","0.31844713"
"111","0.111","0.31528994"
"112","0.112","0.31461939"
"113","0.113","0.31703152"
"114","0.114","0.31556003"
"115","0.115","0.31982549"
"116","0.116","0.31781383"
"117","0.117","0.31736679"
"118","0.118","0.31654723"
"119","0.119","0.31642616"
"120","0.120","0.31617470"
"121","0.121","0.31628646"
"122","0.122","0.31773001"
"123","0.123","0.31724572"
"124","0.124","0.31678937"
"125","0.125","0.31794421"
"126","0.126","0.31691045"
"127","0.127","0.31656586"
"128","0.128","0.31636097"
"129","0.129","0.31527132"
"130","0.130","0.31607226"
"131","0.131","0.31663105"
"132","0.132","0.31850301"
"133","0.133","0.31786971"
"134","0.134","0.31753443"
"135","0.135","0.31662174"
"136","0.136","0.31521544"
"137","0.137","0.31577423"
"138","0.138","0.31698495"
"139","0.139","0.31565316"
"140","0.140","0.31671487"
"141","0.141","0.31712465"
"142","0.142","0.31765550"
"143","0.143","0.31623058"
"144","0.144","0.31691045"
"145","0.145","0.31717122"
"146","0.146","0.31712465"
"147","0.147","0.31817704"
"148","0.148","0.31628646"
"149","0.149","0.31676143"
"150","0.150","0.31666830"
"151","0.151","0.31574629"
"152","0.152","0.31520613"
"153","0.153","0.31705014"
"154","0.154","0.31745993"
"155","0.155","0.31724572"
"156","0.156","0.31638891"
"157","0.157","0.31689182"
"158","0.158","0.31488016"
"159","0.159","0.31759962"
"160","0.160","0.31678006"
"161","0.161","0.31666830"
"162","0.162","0.31791627"
"163","0.163","0.31714328"
"164","0.164","0.31723641"
"165","0.165","0.31782314"
"166","0.166","0.31798147"
"167","0.167","0.31654723"
"168","0.168","0.31578355"
"169","0.169","0.31606294"
"170","0.170","0.31602569"
"171","0.171","0.31737611"
"172","0.172","0.31683594"
"173","0.173","0.31615607"
"174","0.174","0.31505711"
"175","0.175","0.31674281"
"176","0.176","0.31598844"
"177","0.177","0.31617470"
"178","0.178","0.31660311"
"179","0.179","0.31636097"
"180","0.180","0.31554140"
"181","0.181","0.31649135"
"182","0.182","0.31527132"
"183","0.183","0.31683594"
"184","0.184","0.31675212"
"185","0.185","0.31645410"
"186","0.186","0.31713396"
"187","0.187","0.31665899"
"188","0.188","0.31624921"
"189","0.189","0.31616539"
"190","0.190","0.31547621"
"191","0.191","0.31662174"
"192","0.192","0.31584874"
"193","0.193","0.31607226"
"194","0.194","0.31501055"
"195","0.195","0.31603500"
"196","0.196","0.31733885"
"197","0.197","0.31649135"
"198","0.198","0.31648204"
"199","0.199","0.31604432"
"200","0.200","0.31627715"
"201","0.201","0.31469390"
"202","0.202","0.31622127"
"203","0.203","0.31583011"
"204","0.204","0.31729229"
"205","0.205","0.31647272"
"206","0.206","0.31622127"
"207","0.207","0.31556934"
"208","0.208","0.31685457"
"209","0.209","0.31467527"
"210","0.210","0.31423755"
"211","0.211","0.31569041"
"212","0.212","0.31667762"
"213","0.213","0.31643547"
"214","0.214","0.31699426"
