"Device: USB-2408-2AO"
"Serial Number: 1C3CD25"
"Channel Count: 1"
"Sample Count: 1679"
"Start Time: 2/5/2020 10:35:41.853 AM"
"Scan Rate: 1000"
"Sample","Time (s)","AI4 (mV)"
"217","0.217","-3.28612514"
"218","0.218","-3.77808698"
"219","0.219","-4.18960117"
"220","0.220","-4.44467179"
"221","0.221","-4.64973971"
"222","0.222","-4.83785756"
"223","0.223","-4.95383516"
"224","0.224","-4.96234745"
"225","0.225","-4.88418154"
"226","0.226","-4.75139357"
"227","0.227","-4.56409529"
"228","0.228","-4.33773734"
"229","0.229","-4.06708568"
"230","0.230","-3.77123244"
"231","0.231","-3.45679000"
"232","0.232","-3.06439586"
"233","0.233","-2.61042267"
"234","0.234","-2.11477280"
"235","0.235","-1.58942305"
"236","0.236","-1.02004968"
"237","0.237","-0.41247346"
"238","0.238","0.23853034"
"239","0.239","0.88533387"
"240","0.240","1.53142959"
"241","0.241","2.12621875"
"242","0.242","2.62490474"
"243","0.243","3.14954668"
"244","0.244","3.78667377"
"245","0.245","4.35793772"
"246","0.246","4.95051965"
"247","0.247","5.46812080"
"248","0.248","5.83496876"
"249","0.249","6.11379743"
"250","0.250","6.26517460"
"251","0.251","6.29765913"
"252","0.252","6.20782375"
"253","0.253","5.97319566"
"254","0.254","5.66112809"
"255","0.255","5.31123020"
"256","0.256","4.92553227"
"257","0.257","4.51854430"
"258","0.258","4.06034291"
"259","0.259","3.54990363"
"260","0.260","3.01172026"
"261","0.261","2.44840048"
"262","0.262","1.86930411"
"263","0.263","1.29198655"
"264","0.264","0.71713701"
"265","0.265","0.16432256"
"266","0.266","-0.35608187"
"267","0.267","-0.81485137"
"268","0.268","-1.20274723"
"269","0.269","-1.53139234"
"270","0.270","-1.79972500"
"271","0.271","-2.00855546"
"272","0.272","-2.28047371"
"273","0.273","-2.60103494"
"274","0.274","-2.87570059"
"275","0.275","-3.04858200"
"276","0.276","-3.14113684"
"277","0.277","-3.18867154"
"278","0.278","-3.20044346"
"279","0.279","-3.17534432"
"280","0.280","-3.09878960"
"281","0.281","-2.97798775"
"282","0.282","-2.82513909"
"283","0.283","-2.62997113"
"284","0.284","-2.40024179"
"285","0.285","-2.14516185"
"286","0.286","-1.86644495"
"287","0.287","-1.56546012"
"288","0.288","-1.23009086"
"289","0.289","-0.86057931"
"290","0.290","-0.46142377"
"291","0.291","-0.04604459"
"292","0.292","0.37765130"
"293","0.293","0.80724247"
"294","0.294","1.22610480"
"295","0.295","1.59082003"
"296","0.296","1.86655670"
"297","0.297","2.11756676"
"298","0.298","2.47300602"
"299","0.299","2.88212672"
"300","0.300","3.27170826"
"301","0.301","3.63998115"
"302","0.302","3.90697271"
"303","0.303","4.07833606"
"304","0.304","4.17651609"
"305","0.305","4.19614837"
"306","0.306","4.19534743"
"307","0.307","4.14696522"
"308","0.308","4.04067338"
"309","0.309","3.89636494"
"310","0.310","3.68419103"
"311","0.311","3.43386084"
"312","0.312","3.15473415"
"313","0.313","2.84214504"
"314","0.314","2.51562335"
"315","0.315","2.17800029"
"316","0.316","1.81552954"
"317","0.317","1.43606216"
"318","0.318","1.05152838"
"319","0.319","0.66892244"
"320","0.320","0.28511509"
"321","0.321","-0.07244758"
"322","0.322","-0.38967468"
