"Device: USB-2408-2AO"
"Serial Number: 1C3CD25"
"Channel Count: 1"
"Sample Count: 2879"
"Start Time: 2/5/2020 11:00:17.258 AM"
"Scan Rate: 1000"
"Sample","Time (s)","AI4 (mV)"
"0","0.000","0.59978105"
"1","0.001","0.59952959"
"2","0.002","0.59930608"
"3","0.003","0.59960410"
"4","0.004","0.60033984"
"5","0.005","0.59783459"
"6","0.006","0.59872866"
"7","0.007","0.59919432"
"8","0.008","0.59810467"
"9","0.009","0.60089864"
"10","0.010","0.59898943"
"11","0.011","0.59973449"
"12","0.012","0.59952028"
"13","0.013","0.59895217"
"14","0.014","0.59991144"
"15","0.015","0.60013495"
"16","0.016","0.59848651"
"17","0.017","0.59882179"
"18","0.018","0.60022809"
"19","0.019","0.59858896"
"20","0.020","0.60062855"
"21","0.021","0.59800223"
"22","0.022","0.59914775"
"23","0.023","0.59885904"
"24","0.024","0.59776939"
"25","0.025","0.59895217"
"26","0.026","0.59843995"
"27","0.027","0.59804879"
"28","0.028","0.59944578"
"29","0.029","0.60017221"
"30","0.030","0.59857965"
"31","0.031","0.59875660"
"32","0.032","0.59744343"
"33","0.033","0.59784390"
"34","0.034","0.59879385"
"35","0.035","0.59911050"
"36","0.036","0.59884973"
"37","0.037","0.59811398"
"38","0.038","0.59975311"
"39","0.039","0.59755519"
"40","0.040","0.59728511"
"41","0.041","0.59821643"
"42","0.042","0.60006045"
"43","0.043","0.59975311"
"44","0.044","0.59910119"
"45","0.045","0.59855171"
"46","0.046","0.59921294"
"47","0.047","0.60011633"
"48","0.048","0.59830956"
"49","0.049","0.59891492"
"50","0.050","0.59914775"
"51","0.051","0.59829094"
"52","0.052","0.59883110"
"53","0.053","0.59925951"
"54","0.054","0.59744343"
"55","0.055","0.59783459"
"56","0.056","0.59879385"
"57","0.057","0.59932470"
"58","0.058","0.60002320"
"59","0.059","0.59900805"
"60","0.060","0.59929676"
"61","0.061","0.60000457"
"62","0.062","0.59884042"
"63","0.063","0.59886836"
"64","0.064","0.59964135"
"65","0.065","0.59784390"
"66","0.066","0.59884973"
"67","0.067","0.59940852"
"68","0.068","0.59786253"
"69","0.069","0.59991144"
"70","0.070","0.59914775"
"71","0.071","0.59861690"
"72","0.072","0.59860758"
"73","0.073","0.59863552"
"74","0.074","0.59872866"
"75","0.075","0.59860758"
"76","0.076","0.59937127"
"77","0.077","0.59923157"
"78","0.078","0.59996732"
"79","0.079","0.59956685"
"80","0.080","0.59853308"
"81","0.081","0.59967861"
"82","0.082","0.59908256"
"83","0.083","0.59959479"
"84","0.084","0.59872866"
"85","0.085","0.59898011"
"86","0.086","0.59920363"
"87","0.087","0.59898011"
"88","0.088","0.59957616"
"89","0.089","0.59808604"
"90","0.090","0.59895217"
"91","0.091","0.59882179"
"92","0.092","0.59786253"
"93","0.093","0.59826300"
